sequenceID	sequence_length	locus_numeric_id	scaffold	extract_start	extract_end	orientation	organism
ERV-Delta.1-Miniopterus_natalensis	1783	1	LDJU01000221	685870	688987	-	Miniopterus natalensis
ERV-Delta.1-Miniopterus_schreibersii	1587	1	PVJG01030891.1	503	2089	-	Miniopterus schreibersii
ERV-Delta.2-Rhinolophus_sinicus	661	2	LVEH01002092	224	884	-	Rhinolophus sinicus
ERV-Delta.3-Murina_aurata	2571	3	PVJC01054996	2991	9624	-	Murina aurata feae
ERV-Delta.4-Hipposideros_galeritus	606	4	PVLB01015338	37283	37888	-	Hipposideros galeritus
ERV-Delta.5-Anoura_caudifer	261	5	PVKU01000816	300731	300991	-	Anoura caudifer
ERV-Delta.6-Platanista_minor	4522	6	RJWK010047772	2710	10772	-	Platanista minor
ERV-Delta.7-Cryptoprocta_ferox	636	7	PJEU01009902	63280	63915	+	Cryptoprocta ferox
ERV-Delta.7-Helogale_parvula	551	7	PJEM01004257	95137	95687	+	Helogale parvula
ERV-Delta.7-Mungos_mungo	535	7	PISW01001682	85328	85862	+	Mungos mungo
ERV-Delta.7-Suricata_suricatta	552	7	PITD01006283	94127	94678	+	Suricata suricatta
ERV-Delta.8-Solenodon_paradoxus	591	8	NKTL01022466	630	1220	+	Solenodon paradoxus
